"binary", "filename", "configuration", "rate", "time"
"old", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='undefined' search='@'", 905664.2050713573, 0.001104162
"old", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='undefined' search='@'", 1060849.2522604044, 0.000942641
"old", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='utf8' search='@'", 1092355.3694182006, 0.000915453
"old", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='utf8' search='@'", 666012.198679431, 0.001501474
"old", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='ucs2' search='@'", 750304.623677213, 0.001332792
"old", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='ucs2' search='@'", 344158.257733236, 0.00290564
"old", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='binary' search='@'", 761710.924610423, 0.001312834
"old", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='binary' search='@'", 836859.3005195222, 0.001194944
"old", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='undefined' search='SQ'", 507581.7485785173, 0.001970126
"old", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='undefined' search='SQ'", 393277.9362032398, 0.002542731
"old", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='utf8' search='SQ'", 466250.8952017188, 0.002144768
"old", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='utf8' search='SQ'", 377319.76189613744, 0.002650272
"old", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='ucs2' search='SQ'", 302807.14334163425, 0.003302432
"old", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='ucs2' search='SQ'", 245301.9765452062, 0.004076608
"old", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='binary' search='SQ'", 459445.2290747968, 0.002176538
"old", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='binary' search='SQ'", 273381.05108452996, 0.003657898
"old", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='undefined' search='10x'", 708143.0788928042, 0.001412144
"old", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='undefined' search='10x'", 765669.815611395, 0.001306046
"old", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='utf8' search='10x'", 474432.8155689873, 0.00210778
"old", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='utf8' search='10x'", 814079.6707210548, 0.001228381
"old", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='ucs2' search='10x'", 893149.0111947297, 0.001119634
"old", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='ucs2' search='10x'", 741976.8191602159, 0.001347751
"old", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='binary' search='10x'", 1001979.9123067182, 0.000998024
"old", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='binary' search='10x'", 741939.9355105808, 0.001347818
"old", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='undefined' search='--l'", 115889.38497271617, 0.008628918
"old", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='undefined' search='--l'", 82542.35062290172, 0.012114993
"old", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='utf8' search='--l'", 88004.68044092457, 0.011363032
"old", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='utf8' search='--l'", 88349.56388446527, 0.011318675
"old", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='ucs2' search='--l'", 50420.51719753085, 0.019833196
"old", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='ucs2' search='--l'", 52941.12010386625, 0.018888909
"old", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='binary' search='--l'", 115021.28526394452, 0.008694043
"old", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='binary' search='--l'", 112255.59431367042, 0.008908242
"old", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='undefined' search='Alice'", 1281693.0652715012, 0.000780218
"old", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='undefined' search='Alice'", 1146815.2939287599, 0.00087198
"old", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='utf8' search='Alice'", 1167043.621756494, 0.000856866
"old", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='utf8' search='Alice'", 863797.3047796496, 0.001157679
"old", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='ucs2' search='Alice'", 950045.6496934679, 0.001052581
"old", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='ucs2' search='Alice'", 668965.2312010736, 0.001494846
"old", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='binary' search='Alice'", 604093.8230198409, 0.001655372
"old", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='binary' search='Alice'", 819684.224849219, 0.001219982
"old", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='undefined' search='Gryphon'", 196831.05931129996, 0.005080499
"old", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='undefined' search='Gryphon'", 198404.98266337262, 0.005040196
"old", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='utf8' search='Gryphon'", 196405.04140316474, 0.005091519
"old", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='utf8' search='Gryphon'", 205847.04411878527, 0.004857976
"old", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='ucs2' search='Gryphon'", 12411.646761653661, 0.080569486
"old", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='ucs2' search='Gryphon'", 32540.1561797336, 0.03073126
"old", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='binary' search='Gryphon'", 54104.15742838179, 0.018482868
"old", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='binary' search='Gryphon'", 88826.30779417098, 0.011257926
"old", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='undefined' search='Panther'", 101293.87734223099, 0.009872265
"old", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='undefined' search='Panther'", 114549.3873383293, 0.008729859
"old", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='utf8' search='Panther'", 86460.70343736632, 0.011565948
"old", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='utf8' search='Panther'", 128274.36347053986, 0.00779579
"old", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='ucs2' search='Panther'", 55362.17854158638, 0.018062873
"old", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='ucs2' search='Panther'", 56599.47629636573, 0.017668008
"old", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='binary' search='Panther'", 124171.52756806588, 0.008053376
"old", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='binary' search='Panther'", 29986.726675304446, 0.033348088
"old", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='undefined' search='Ou est ma chatte?'", 22758.220286236054, 0.043940167
"old", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='undefined' search='Ou est ma chatte?'", 45157.876678444896, 0.022144531
"old", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='utf8' search='Ou est ma chatte?'", 45843.691715476445, 0.021813252
"old", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='utf8' search='Ou est ma chatte?'", 39740.31295099046, 0.025163365
"old", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='ucs2' search='Ou est ma chatte?'", 10571.51703690357, 0.094593803
"old", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='ucs2' search='Ou est ma chatte?'", 45861.876045163495, 0.021804603
"old", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='binary' search='Ou est ma chatte?'", 42092.28455579781, 0.023757323
"old", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='binary' search='Ou est ma chatte?'", 50298.625454253175, 0.019881259
"old", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='undefined' search='found it very'", 8783.182390977057, 0.113853949
"old", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='undefined' search='found it very'", 9280.686990603972, 0.107750644
"old", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='utf8' search='found it very'", 7977.902550223509, 0.125346229
"old", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='utf8' search='found it very'", 9382.95774510711, 0.106576202
"old", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='ucs2' search='found it very'", 7556.113398220701, 0.13234317
"old", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='ucs2' search='found it very'", 8024.0411184605, 0.124625483
"old", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='binary' search='found it very'", 6131.393782180544, 0.163095054
"old", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='binary' search='found it very'", 8793.164081690395, 0.113724706
"old", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='undefined' search='among mad people'", 12753.70808004416, 0.078408569
"old", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='undefined' search='among mad people'", 16080.480877132342, 0.062187195
"old", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='utf8' search='among mad people'", 16649.675672642734, 0.06006123
"old", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='utf8' search='among mad people'", 13814.221486839026, 0.072389168
"old", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='ucs2' search='among mad people'", 13221.886580224089, 0.075632172
"old", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='ucs2' search='among mad people'", 12246.832708816304, 0.081653765
"old", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='binary' search='among mad people'", 14710.536723494204, 0.067978485
"old", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='binary' search='among mad people'", 3924.5686446752966, 0.254805073
"old", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='undefined' search='neighbouring pool'", 7407.166317860736, 0.135004394
"old", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='undefined' search='neighbouring pool'", 8832.726800288807, 0.113215321
"old", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='utf8' search='neighbouring pool'", 6780.83214711151, 0.147474525
"old", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='utf8' search='neighbouring pool'", 7787.301569724535, 0.128414187
"old", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='ucs2' search='neighbouring pool'", 4032.799988275844, 0.247966674
"old", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='ucs2' search='neighbouring pool'", 4818.636566494392, 0.207527583
"old", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='binary' search='neighbouring pool'", 5561.891322256512, 0.179794955
"old", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='binary' search='neighbouring pool'", 6488.567766497936, 0.154117216
"old", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='undefined' search='Soo--oop'", 7544.667714802084, 0.132543942
"old", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='undefined' search='Soo--oop'", 5486.605566290831, 0.182262054
"old", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='utf8' search='Soo--oop'", 4465.135704694571, 0.223957359
"old", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='utf8' search='Soo--oop'", 6023.854487867373, 0.166006666
"old", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='ucs2' search='Soo--oop'", 5414.540935943684, 0.184687864
"old", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='ucs2' search='Soo--oop'", 2606.671712123055, 0.383630971
